,DATE,DailyMaxDewPointTemperature,DailyMaxDryBulbTemperature,DailyMaxWetBulbTemperature,DailyMaxRealTemperature,DailyMinDewPointTemperature,DailyMinDryBulbTemperature,DailyMinWetBulbTemperature,DailyMinRealTemperature,DailyAveragePrecipitation,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWetBulbTemperature,DailyAverageRealTemperature,High,Low,Open,Close,Volume,Adj Close
2379,2012-01-03 00:00:00,34.0,45.0,0.0,40.8,32.0,32.0,0.0,32.0,0.0,80.81944,32.694443,38.041668,0.0,36.530556,20.872865676879883,20.7210636138916,20.74003791809082,20.844402313232422,53124340.0,14.48047161102295
2451,2012-01-04 00:00:00,39.0,50.0,0.0,44.8,30.0,30.0,0.0,30.0,0.0,80.21918,33.232876,39.61644,0.0,37.18904,20.82542610168457,20.63567352294922,20.796964645385742,20.65464973449707,31912485.0,14.348649978637695
2525,2012-01-05 00:00:00,39.0,48.0,0.0,44.8,21.0,36.0,0.0,29.8,0.0,55.985714,27.357143,42.42857,0.0,36.16,20.607210159301758,20.294118881225586,20.607210159301758,20.493358612060547,52764821.0,14.236605644226074
2596,2012-01-06 00:00:00,27.0,37.0,0.0,33.0,23.0,25.0,0.0,24.4,0.0,76.57746,24.408451,31.084507,0.0,29.092958,20.66413688659668,20.455408096313477,20.607210159301758,20.464895248413086,31613571.0,14.216825485229492
2811,2012-01-09 00:00:00,36.0,43.0,0.0,37.8,28.0,28.0,0.0,28.0,0.0,78.59722,29.972221,36.51389,0.0,34.252777,20.7210636138916,20.407970428466797,20.455408096313477,20.70208740234375,41786041.0,14.38160514831543
2884,2012-01-10 00:00:00,36.0,36.0,0.0,36.0,10.0,25.0,0.0,20.2,0.002394366,72.70422,23.408451,32.676056,0.0,28.867605,20.872865676879883,20.6831111907959,20.81593894958496,20.81593894958496,29227420.0,14.460698127746582
2956,2012-01-11 00:00:00,18.0,27.0,0.0,22.2,12.0,16.0,0.0,14.8,0.0,72.52778,14.277778,22.208334,0.0,19.772223,20.844402313232422,20.645160675048828,20.76850128173828,20.77798843383789,30317467.0,14.43433666229248
3028,2012-01-12 00:00:00,19.0,27.0,0.0,23.2,14.0,18.0,0.0,18.0,0.0,80.71429,16.9,21.957144,0.0,20.757143,20.872865676879883,20.75901222229004,20.82542610168457,20.863378524780273,28835648.0,14.49365234375
3098,2012-01-13 00:00:00,19.0,27.0,0.0,24.2,16.0,19.0,0.0,18.8,0.0,81.81944,18.319445,23.166666,0.0,21.955555,20.82542610168457,20.58823585510254,20.81593894958496,20.7210636138916,30636829.0,14.394791603088379
3385,2012-01-17 00:00:00,27.0,32.0,0.0,31.0,9.0,18.0,0.0,16.2,0.0,82.861115,21.916666,26.625,0.0,25.344444,21.034156799316406,20.76850128173828,20.863378524780273,20.81593894958496,37463376.0,14.460698127746582
