,DATE,DailyMaxDewPointTemperature,DailyMaxDryBulbTemperature,DailyMaxWetBulbTemperature,DailyMaxRealTemperature,DailyMinDewPointTemperature,DailyMinDryBulbTemperature,DailyMinWetBulbTemperature,DailyMinRealTemperature,DailyAveragePrecipitation,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWetBulbTemperature,DailyAverageRealTemperature,High,Low,Open,Close,Volume,Adj Close
2379,2012-01-03 00:00:00,34.0,45.0,0.0,40.8,32.0,32.0,0.0,32.0,0.0,80.81944,32.694443,38.041668,0.0,36.530556,14.73214340209961,14.60714340209961,14.621429443359375,14.686785697937012,302220800.0,12.591938018798828
2451,2012-01-04 00:00:00,39.0,50.0,0.0,44.8,30.0,30.0,0.0,30.0,0.0,80.21918,33.232876,39.61644,0.0,37.18904,14.8100004196167,14.617142677307129,14.64285659790039,14.765713691711426,260022000.0,12.659605979919434
2525,2012-01-05 00:00:00,39.0,48.0,0.0,44.8,21.0,36.0,0.0,29.8,0.0,55.985714,27.357143,42.42857,0.0,36.16,14.948213577270508,14.738213539123535,14.819643020629883,14.929642677307129,271269600.0,12.800152778625488
2596,2012-01-06 00:00:00,27.0,37.0,0.0,33.0,23.0,25.0,0.0,24.4,0.0,76.57746,24.408451,31.084507,0.0,29.092958,15.098214149475098,14.972143173217773,14.991786003112793,15.085714340209961,318292800.0,12.933965682983398
2811,2012-01-09 00:00:00,36.0,43.0,0.0,37.8,28.0,28.0,0.0,28.0,0.0,78.59722,29.972221,36.51389,0.0,34.252777,15.276785850524902,15.048213958740234,15.196429252624512,15.061785697937012,394024400.0,12.91344928741455
2884,2012-01-10 00:00:00,36.0,36.0,0.0,36.0,10.0,25.0,0.0,20.2,0.002394366,72.70422,23.408451,32.676056,0.0,28.867605,15.214285850524902,15.053570747375488,15.211071014404297,15.115714073181152,258196400.0,12.959685325622559
2956,2012-01-11 00:00:00,18.0,27.0,0.0,22.2,12.0,16.0,0.0,14.8,0.0,72.52778,14.277778,22.208334,0.0,19.772223,15.101785659790039,14.975357055664062,15.09571361541748,15.091071128845215,215084800.0,12.938556671142578
3028,2012-01-12 00:00:00,19.0,27.0,0.0,23.2,14.0,18.0,0.0,18.0,0.0,80.71429,16.9,21.957144,0.0,20.757143,15.103570938110352,14.95535659790039,15.081428527832031,15.049642562866211,212587200.0,12.903036117553711
3098,2012-01-13 00:00:00,19.0,27.0,0.0,24.2,16.0,19.0,0.0,18.8,0.0,81.81944,18.319445,23.166666,0.0,21.955555,15.016071319580078,14.952142715454102,14.989286422729492,14.993213653564453,226021600.0,12.854660034179688
3385,2012-01-17 00:00:00,27.0,32.0,0.0,31.0,9.0,18.0,0.0,16.2,0.0,82.861115,21.916666,26.625,0.0,25.344444,15.213929176330566,15.105713844299316,15.149999618530273,15.16785717010498,242897200.0,13.00439167022705
3458,2012-01-18 00:00:00,16.0,19.0,0.0,18.2,10.0,14.0,0.0,13.0,0.00055555557,84.388885,12.972222,17.277779,0.0,16.094444,15.338213920593262,15.225000381469727,15.248571395874023,15.325357437133789,276791200.0,13.139425277709961
3531,2012-01-19 00:00:00,14.0,18.0,0.0,16.8,9.0,14.0,0.0,13.0,0.0006944444,85.69444,11.625,15.583333,0.0,14.486111,15.406070709228516,15.232500076293945,15.362500190734863,15.276785850524902,261738400.0,13.097784996032715
3604,2012-01-20 00:00:00,21.0,23.0,0.0,22.4,12.0,16.0,0.0,14.8,0.00027777778,88.68056,17.125,20.194445,0.0,19.38889,15.26785659790039,14.991070747375488,15.267499923706055,15.010713577270508,413974400.0,12.869660377502441
3823,2012-01-23 00:00:00,32.0,36.0,0.0,33.0,25.0,25.0,0.0,25.0,0.00027777778,89.041664,27.694445,30.930555,0.0,29.88611,15.301786422729492,15.08214282989502,15.095356941223145,15.264642715454102,306062400.0,13.087372779846191
3896,2012-01-24 00:00:00,32.0,32.0,0.0,32.0,18.0,19.0,0.0,19.4,0.004507042,89.35211,22.450705,25.309858,0.0,24.580282,15.182143211364746,14.983928680419922,15.182143211364746,15.014642715454102,547638000.0,12.873030662536621
3968,2012-01-25 00:00:00,36.0,41.0,0.0,38.6,25.0,28.0,0.0,28.0,0.0044444446,70.18056,28.805555,38.02778,0.0,34.769444,16.230356216430664,15.84749984741211,16.229999542236328,15.952142715454102,958314000.0,13.676809310913086
4041,2012-01-26 00:00:00,34.0,41.0,0.0,38.0,12.0,32.0,0.0,23.2,0.0027777778,69.80556,25.930555,35.59722,0.0,31.969444,16.028213500976562,15.82642936706543,16.01285743713379,15.879643440246582,323985200.0,13.61465072631836
4114,2012-01-27 00:00:00,19.0,34.0,0.0,27.8,12.0,23.0,0.0,21.2,0.0,59.34722,16.166666,28.819445,0.0,24.297222,16.01714324951172,15.848929405212402,15.869285583496094,15.974286079406738,299709200.0,13.695796966552734
4332,2012-01-30 00:00:00,37.0,41.0,0.0,39.8,32.0,34.0,0.0,33.4,0.00056338025,88.746475,34.183098,37.19718,0.0,36.433804,16.21071434020996,15.90678596496582,15.918213844299316,16.17892837524414,379341200.0,13.871248245239258
