,DATE,DailyMaxDewPointTemperature,DailyMaxDryBulbTemperature,DailyMaxWetBulbTemperature,DailyMaxRealTemperature,DailyMinDewPointTemperature,DailyMinDryBulbTemperature,DailyMinWetBulbTemperature,DailyMinRealTemperature,DailyAveragePrecipitation,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWetBulbTemperature,DailyAverageRealTemperature,High,Low,Open,Close,Volume,Adj Close
2379,2012-01-03 00:00:00,34.0,45.0,0.0,40.8,32.0,32.0,0.0,32.0,0.0,80.81944,32.694443,38.041668,0.0,36.530556,61.779998779296875,61.11000061035156,61.47999954223633,61.369998931884766,790900.0,47.204402923583984
2451,2012-01-04 00:00:00,39.0,50.0,0.0,44.8,30.0,30.0,0.0,30.0,0.0,80.21918,33.232876,39.61644,0.0,37.18904,60.41999816894531,59.709999084472656,60.27000045776367,60.02000045776367,829000.0,46.16602325439453
2525,2012-01-05 00:00:00,39.0,48.0,0.0,44.8,21.0,36.0,0.0,29.8,0.0,55.985714,27.357143,42.42857,0.0,36.16,60.20000076293945,59.63999938964844,59.88999938964844,59.95000076293945,681200.0,46.112186431884766
2596,2012-01-06 00:00:00,27.0,37.0,0.0,33.0,23.0,25.0,0.0,24.4,0.0,76.57746,24.408451,31.084507,0.0,29.092958,60.029998779296875,58.779998779296875,60.029998779296875,58.91999816894531,791300.0,45.31992721557617
2811,2012-01-09 00:00:00,36.0,43.0,0.0,37.8,28.0,28.0,0.0,28.0,0.0,78.59722,29.972221,36.51389,0.0,34.252777,60.97999954223633,60.16999816894531,60.34000015258789,60.880001068115234,1275500.0,46.82752227783203
2884,2012-01-10 00:00:00,36.0,36.0,0.0,36.0,10.0,25.0,0.0,20.2,0.002394366,72.70422,23.408451,32.676056,0.0,28.867605,61.720001220703125,60.97999954223633,61.619998931884766,61.130001068115234,1251300.0,47.01981735229492
2956,2012-01-11 00:00:00,18.0,27.0,0.0,22.2,12.0,16.0,0.0,14.8,0.0,72.52778,14.277778,22.208334,0.0,19.772223,60.529998779296875,59.75,60.08000183105469,60.5099983215332,869600.0,46.54291915893555
3028,2012-01-12 00:00:00,19.0,27.0,0.0,23.2,14.0,18.0,0.0,18.0,0.0,80.71429,16.9,21.957144,0.0,20.757143,61.189998626708984,60.689998626708984,61.06999969482422,60.9900016784668,976400.0,46.912132263183594
3098,2012-01-13 00:00:00,19.0,27.0,0.0,24.2,16.0,19.0,0.0,18.8,0.0,81.81944,18.319445,23.166666,0.0,21.955555,59.70000076293945,59.22999954223633,59.22999954223633,59.619998931884766,1038000.0,45.85834884643555
3385,2012-01-17 00:00:00,27.0,32.0,0.0,31.0,9.0,18.0,0.0,16.2,0.0,82.861115,21.916666,26.625,0.0,25.344444,61.099998474121094,60.59000015258789,61.029998779296875,60.7400016784668,624800.0,46.71982955932617
