,DATE,DailyMaxDewPointTemperature,DailyMaxDryBulbTemperature,DailyMaxWetBulbTemperature,DailyMaxRealTemperature,DailyMinDewPointTemperature,DailyMinDryBulbTemperature,DailyMinWetBulbTemperature,DailyMinRealTemperature,DailyAveragePrecipitation,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWetBulbTemperature,DailyAverageRealTemperature,High,Low,Open,Close,Volume,Adj Close
2379,2012-01-03 00:00:00,34.0,45.0,0.0,40.8,32.0,32.0,0.0,32.0,0.0,80.81944,32.694443,38.041668,0.0,36.530556,66.0,65.25,65.58999633789062,65.87999725341797,16116200.0,49.661643981933594
2451,2012-01-04 00:00:00,39.0,50.0,0.0,44.8,30.0,30.0,0.0,30.0,0.0,80.21918,33.232876,39.61644,0.0,37.18904,65.87999725341797,65.11000061035156,65.75,65.4800033569336,9243100.0,49.36012268066406
2525,2012-01-05 00:00:00,39.0,48.0,0.0,44.8,21.0,36.0,0.0,29.8,0.0,55.985714,27.357143,42.42857,0.0,36.16,65.5999984741211,64.83000183105469,65.31999969482422,65.4000015258789,11886900.0,49.29983139038086
2596,2012-01-06 00:00:00,27.0,37.0,0.0,33.0,23.0,25.0,0.0,24.4,0.0,76.57746,24.408451,31.084507,0.0,29.092958,65.45999908447266,64.61000061035156,65.44000244140625,64.83000183105469,15359900.0,48.87014389038086
2811,2012-01-09 00:00:00,36.0,43.0,0.0,37.8,28.0,28.0,0.0,28.0,0.0,78.59722,29.972221,36.51389,0.0,34.252777,65.08999633789062,64.41000366210938,64.95999908447266,64.93000030517578,7934600.0,48.945518493652344
2884,2012-01-10 00:00:00,36.0,36.0,0.0,36.0,10.0,25.0,0.0,20.2,0.002394366,72.70422,23.408451,32.676056,0.0,28.867605,65.4000015258789,65.0,65.11000061035156,65.19999694824219,8476600.0,49.14906692504883
2956,2012-01-11 00:00:00,18.0,27.0,0.0,22.2,12.0,16.0,0.0,14.8,0.0,72.52778,14.277778,22.208334,0.0,19.772223,65.54000091552734,64.83999633789062,65.11000061035156,65.12999725341797,6784600.0,49.09628677368164
3028,2012-01-12 00:00:00,19.0,27.0,0.0,23.2,14.0,18.0,0.0,18.0,0.0,80.71429,16.9,21.957144,0.0,20.757143,65.41000366210938,64.93000030517578,65.27999877929688,65.2300033569336,7402900.0,49.17168045043945
3098,2012-01-13 00:00:00,19.0,27.0,0.0,24.2,16.0,19.0,0.0,18.8,0.0,81.81944,18.319445,23.166666,0.0,21.955555,65.27999877929688,64.36000061035156,64.97000122070312,65.26000213623047,8978800.0,49.19429016113281
3385,2012-01-17 00:00:00,27.0,32.0,0.0,31.0,9.0,18.0,0.0,16.2,0.0,82.861115,21.916666,26.625,0.0,25.344444,65.69000244140625,64.5,65.54000091552734,65.12000274658203,8359900.0,49.0887565612793
