,DATE,DailyMaxDewPointTemperature,DailyMaxDryBulbTemperature,DailyMaxWetBulbTemperature,DailyMaxRealTemperature,DailyMinDewPointTemperature,DailyMinDryBulbTemperature,DailyMinWetBulbTemperature,DailyMinRealTemperature,DailyAveragePrecipitation,DailyAverageRelativeHumidity,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWetBulbTemperature,DailyAverageRealTemperature,High,Low,Open,Close,Volume,Adj Close
2379,2012-01-03 00:00:00,34.0,45.0,0.0,40.8,32.0,32.0,0.0,32.0,0.0,80.81944,32.694443,38.041668,0.0,36.530556,334.409423828125,326.5115051269531,326.7967834472656,333.03802490234375,7345647.0,333.03802490234375
2451,2012-01-04 00:00:00,39.0,50.0,0.0,44.8,30.0,30.0,0.0,30.0,0.0,80.21918,33.232876,39.61644,0.0,37.18904,335.46044921875,330.6406555175781,332.84783935546875,334.4744873046875,5722272.0,334.4744873046875
2525,2012-01-05 00:00:00,39.0,48.0,0.0,44.8,21.0,36.0,0.0,29.8,0.0,55.985714,27.357143,42.42857,0.0,36.16,332.31732177734375,328.4434509277344,331.3963928222656,329.8348388671875,6559234.0,329.8348388671875
2596,2012-01-06 00:00:00,27.0,37.0,0.0,33.0,23.0,25.0,0.0,24.4,0.0,76.57746,24.408451,31.084507,0.0,29.092958,330.330322265625,325.22021484375,329.9049072265625,325.3353271484375,5380414.0,325.3353271484375
2811,2012-01-09 00:00:00,36.0,43.0,0.0,37.8,28.0,28.0,0.0,28.0,0.0,78.59722,29.972221,36.51389,0.0,34.252777,323.8238220214844,310.9259338378906,323.5735778808594,311.5415344238281,11633555.0,311.5415344238281
2884,2012-01-10 00:00:00,36.0,36.0,0.0,36.0,10.0,25.0,0.0,20.2,0.002394366,72.70422,23.408451,32.676056,0.0,28.867605,317.21722412109375,308.7637634277344,315.190185546875,311.88189697265625,8782409.0,311.88189697265625
2956,2012-01-11 00:00:00,18.0,27.0,0.0,22.2,12.0,16.0,0.0,14.8,0.0,72.52778,14.277778,22.208334,0.0,19.772223,315.010009765625,310.8708801269531,312.06207275390625,313.2933044433594,4795200.0,313.2933044433594
3028,2012-01-12 00:00:00,19.0,27.0,0.0,23.2,14.0,18.0,0.0,18.0,0.0,80.71429,16.9,21.957144,0.0,20.757143,316.7617492675781,313.5635681152344,315.9259338378906,315.1351318359375,3746650.0,315.1351318359375
3098,2012-01-13 00:00:00,19.0,27.0,0.0,24.2,16.0,19.0,0.0,18.8,0.0,81.81944,18.319445,23.166666,0.0,21.955555,313.7887878417969,310.8408508300781,313.4434509277344,312.80780029296875,4609985.0,312.80780029296875
3385,2012-01-17 00:00:00,27.0,32.0,0.0,31.0,9.0,18.0,0.0,16.2,0.0,82.861115,21.916666,26.625,0.0,25.344444,316.3063049316406,313.1531677246094,316.3063049316406,314.6046142578125,3814781.0,314.6046142578125
3458,2012-01-18 00:00:00,16.0,19.0,0.0,18.2,10.0,14.0,0.0,13.0,0.00055555557,84.388885,12.972222,17.277779,0.0,16.094444,317.31732177734375,311.3713684082031,313.6286315917969,316.7717590332031,5517877.0,316.7717590332031
3531,2012-01-19 00:00:00,14.0,18.0,0.0,16.8,9.0,14.0,0.0,13.0,0.0006944444,85.69444,11.625,15.583333,0.0,14.486111,320.8158264160156,316.0460510253906,320.8158264160156,320.1051025390625,12597989.0,320.1051025390625
3604,2012-01-20 00:00:00,21.0,23.0,0.0,22.4,12.0,16.0,0.0,14.8,0.00027777778,88.68056,17.125,20.194445,0.0,19.38889,295.7958068847656,291.1411437988281,295.560546875,293.2882995605469,21131447.0,293.2882995605469
3823,2012-01-23 00:00:00,32.0,36.0,0.0,33.0,25.0,25.0,0.0,25.0,0.00027777778,89.041664,27.694445,30.930555,0.0,29.88611,294.6246337890625,291.87188720703125,293.2933044433594,293.05303955078125,6818974.0,293.05303955078125
